Company Name,Ticker,Address,Full Time Employees,Market Capitalization (Market Cap),Enterprise Value (EV),Total Revenue,Gross Profits,Total Debt,Latitude,Longitude
Exxon Mobil Corporation,XOM,"5959 Las Colinas Boulevard, Irving, TX, 75039-2298, United States",62000.0,437288730624,460750585856,367977005056.0,133715000000,41495998464.0,32.890255,-96.949441
Chevron Corporation,CVX,"6001 Bollinger Canyon Road, San Ramon, CA, 94583-2324, United States",43846.0,297691217920,313186058240,214671998976.0,98886000000,21514000384.0,37.7583351,-121.95945809117993
Shell plc,SHEL,"Shell Centre, London, None, SE1 7NA, United Kingdom",91140.0,204385419264,246093201408,358589005824.0,97308000000,84366000128.0,51.463735,-0.021389
BP p.l.c.,BP,"1 St James's Square, London, None, SW1Y 4PD, United Kingdom",67600.0,104156094464,467766444032,227586998272.0,70171000000,60699000832.0,51.50773,-0.13457
ConocoPhillips,COP,"925 North Eldridge Parkway, Houston, TX, 77079-2703, United States",9700.0,139774033920,150561669120,68775002112.0,39598000000,16444000256.0,29.78335183700673,-95.61780117072901
Marathon Petroleum Corporation,MPC,"539 South Main Street, Findlay, OH, 45840-3229, United States",17800.0,61326598144,80990756864,157515005952.0,26565000000,28565000192.0,41.03649696210927,-83.65016264079452
